age,job,marital,education,default,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,age_group,probabilidad_exito
55,unemployed,married,basic.9y,no,no,no,cellular,oct,tue,1,999,0,nonexistent,-3.4,92.431,-26.9,0.728,5017.5,Maduro,0.8246586750523817
64,retired,married,basic.4y,no,yes,no,cellular,apr,wed,1,999,2,failure,-1.8,93.075,-47.1,1.405,5099.1,Senior,0.6259500412751682
42,housemaid,divorced,basic.4y,no,yes,no,telephone,apr,mon,1,999,1,failure,-1.8,93.749,-34.6,0.642,5008.7,Adulto,0.5022346061860259
32,self-employed,married,university.degree,no,yes,no,cellular,nov,thu,1,6,3,failure,-3.4,92.649,-30.1,0.714,5017.5,Adulto,0.8807250546489847
35,technician,divorced,basic.4y,no,yes,no,cellular,nov,tue,1,9,4,success,-1.1,94.767,-50.8,1.035,4963.6,Adulto,0.9207609882794605
46,entrepreneur,married,professional.course,no,no,yes,cellular,apr,fri,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,Maduro,0.6738038352321677
24,admin.,single,university.degree,no,no,no,cellular,sep,tue,1,3,1,success,-3.4,92.379,-29.8,0.77,5017.5,Joven,0.9660885844432459
55,admin.,divorced,unknown,no,no,no,cellular,apr,fri,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,Maduro,0.6567120667418233
53,admin.,single,university.degree,no,yes,yes,telephone,nov,fri,3,999,1,failure,-3.4,92.649,-30.1,0.714,5017.5,Maduro,0.6188380551413406
39,technician,divorced,high.school,no,no,no,cellular,mar,mon,1,3,1,success,-1.8,93.369,-34.8,0.639,5008.7,Adulto,0.9724896840831037
56,blue-collar,married,basic.9y,unknown,no,yes,cellular,apr,wed,2,999,0,nonexistent,-1.8,93.075,-47.1,1.415,5099.1,Maduro,0.6234603929199057
57,retired,married,basic.4y,no,no,no,cellular,apr,thu,2,999,1,failure,-1.8,93.075,-47.1,1.41,5099.1,Maduro,0.5907808293921886
56,entrepreneur,married,university.degree,no,yes,no,cellular,sep,thu,2,999,0,nonexistent,-3.4,92.379,-29.8,0.778,5017.5,Maduro,0.8470453132936039
28,self-employed,single,university.degree,no,yes,no,telephone,mar,wed,1,999,1,failure,-1.8,93.369,-34.8,0.651,5008.7,Joven,0.815955884089192
23,student,single,high.school,no,no,no,cellular,aug,mon,1,999,0,nonexistent,-2.9,92.201,-31.4,0.861,5076.2,Joven,0.8334264125458893
43,management,married,basic.9y,no,yes,no,cellular,aug,fri,1,6,2,failure,-2.9,92.201,-31.4,0.869,5076.2,Adulto,0.8622723376282567
48,services,married,high.school,no,yes,yes,cellular,jun,tue,3,999,0,nonexistent,-2.9,92.963,-40.8,1.286,5076.2,Maduro,0.7754193624848056
28,admin.,single,high.school,no,no,no,cellular,mar,fri,2,999,0,nonexistent,-1.8,92.843,-50.0,1.531,5099.1,Joven,0.8682166822394964
59,housemaid,married,basic.4y,no,no,no,telephone,oct,tue,1,999,0,nonexistent,-3.4,92.431,-26.9,0.737,5017.5,Maduro,0.7328248278313811
27,services,single,high.school,no,no,no,cellular,jul,fri,5,6,2,success,-1.7,94.215,-40.3,0.896,4991.6,Joven,0.9740784799531556
34,housemaid,married,university.degree,no,no,no,cellular,aug,thu,3,4,1,success,-2.9,92.201,-31.4,0.873,5076.2,Adulto,0.9367461392854532
58,unemployed,married,basic.9y,no,no,yes,cellular,oct,tue,1,999,2,failure,-3.4,92.431,-26.9,0.742,5017.5,Maduro,0.7250704927177924
34,admin.,married,university.degree,no,no,no,cellular,apr,thu,1,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,Adulto,0.6712558956131087
55,retired,married,basic.4y,no,no,no,cellular,jun,tue,2,3,4,failure,-2.9,92.963,-40.8,1.262,5076.2,Maduro,0.8713770387945396
66,housemaid,divorced,basic.4y,no,yes,no,cellular,mar,thu,1,3,2,success,-1.8,93.369,-34.8,0.635,5008.7,Senior,0.9735286714760812
34,technician,single,professional.course,no,no,no,cellular,mar,fri,1,999,0,nonexistent,-1.8,92.843,-50.0,1.726,5099.1,Adulto,0.8547309084057974
27,admin.,single,university.degree,no,yes,no,cellular,mar,wed,1,6,2,success,-1.8,93.369,-34.8,0.634,5008.7,Joven,0.9812962598493343
62,management,divorced,high.school,no,no,no,cellular,aug,mon,1,999,0,nonexistent,-2.9,92.201,-31.4,0.861,5076.2,Senior,0.7910628481102979
43,services,married,high.school,no,no,no,cellular,apr,thu,1,999,1,failure,-1.8,93.075,-47.1,1.41,5099.1,Adulto,0.523336588256879
35,admin.,married,university.degree,no,yes,no,cellular,aug,fri,5,3,2,success,-2.9,92.201,-31.4,0.849,5076.2,Adulto,0.922992017823484
62,retired,divorced,high.school,no,yes,no,cellular,jun,fri,4,999,0,nonexistent,-1.7,94.055,-39.8,0.732,4991.6,Senior,0.809651500050097
21,student,single,basic.9y,no,yes,no,cellular,mar,wed,2,999,1,failure,-1.8,93.369,-34.8,0.655,5008.7,Joven,0.9010167645713711
19,student,single,basic.9y,no,no,no,cellular,apr,thu,3,999,0,nonexistent,-1.8,93.075,-47.1,1.41,5099.1,Joven,0.7205518544197994
34,unemployed,single,university.degree,no,no,no,cellular,aug,wed,1,999,0,nonexistent,-2.9,92.201,-31.4,0.854,5076.2,Adulto,0.7935240802981742
26,admin.,single,high.school,no,no,no,cellular,aug,wed,4,999,0,nonexistent,-2.9,92.201,-31.4,0.854,5076.2,Joven,0.8162715166230595
32,technician,married,university.degree,no,no,no,cellular,sep,wed,3,999,0,nonexistent,-3.4,92.379,-29.8,0.768,5017.5,Adulto,0.8491399319598615
45,technician,single,professional.course,no,yes,yes,cellular,mar,thu,2,999,0,nonexistent,-1.8,92.843,-50.0,1.538,5099.1,Adulto,0.8409136829962948
37,management,married,university.degree,no,no,no,cellular,apr,mon,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,Adulto,0.6464026756488995
42,technician,married,professional.course,no,yes,yes,cellular,oct,mon,1,6,1,success,-1.1,94.601,-49.5,1.0,4963.6,Adulto,0.9634658520964305
28,blue-collar,single,basic.9y,no,yes,no,cellular,apr,thu,3,999,0,nonexistent,-1.8,93.075,-47.1,1.406,5099.1,Joven,0.6423795076802112
33,admin.,single,high.school,no,no,no,cellular,oct,mon,1,999,0,nonexistent,-3.4,92.431,-26.9,0.731,5017.5,Adulto,0.844833979470257
24,student,single,high.school,no,no,no,cellular,may,mon,1,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,Joven,0.5483637210928657
35,admin.,single,basic.9y,no,no,no,cellular,apr,mon,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,Adulto,0.6214366334904067
36,admin.,single,university.degree,no,yes,no,cellular,apr,thu,3,999,2,failure,-1.8,93.075,-47.1,1.435,5099.1,Adulto,0.5059858197917938
26,self-employed,single,university.degree,no,no,no,cellular,may,fri,3,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,Joven,0.5214968675413415
73,retired,divorced,professional.course,unknown,yes,no,cellular,jul,thu,2,999,0,nonexistent,-1.7,94.215,-40.3,0.81,4991.6,Senior,0.918173949802618
28,admin.,single,university.degree,no,no,no,cellular,mar,thu,1,999,0,nonexistent,-1.8,93.369,-34.8,0.635,5008.7,Joven,0.9299181557146168
31,admin.,married,university.degree,no,yes,no,cellular,mar,tue,3,999,0,nonexistent,-1.8,92.843,-50.0,1.556,5099.1,Adulto,0.830869197294338
59,admin.,divorced,professional.course,no,yes,no,telephone,aug,tue,1,999,1,failure,-2.9,92.201,-31.4,0.883,5076.2,Maduro,0.5011466157246455
56,blue-collar,married,basic.6y,no,yes,yes,cellular,apr,mon,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,Maduro,0.6613727935404861
38,technician,married,university.degree,no,yes,no,cellular,mar,tue,1,999,0,nonexistent,-1.8,92.843,-50.0,1.687,5099.1,Adulto,0.8478539218332292
32,admin.,single,university.degree,no,no,no,cellular,apr,tue,2,999,0,nonexistent,-1.8,93.075,-47.1,1.453,5099.1,Adulto,0.671729588218955
57,retired,married,basic.4y,no,no,yes,cellular,jun,mon,1,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,Maduro,0.8269118884567512
37,unemployed,married,university.degree,unknown,no,no,telephone,jun,mon,1,999,0,nonexistent,-1.7,94.055,-39.8,0.754,4991.6,Adulto,0.5346701879259896
65,technician,married,professional.course,no,no,no,cellular,sep,thu,1,999,0,nonexistent,-1.1,94.199,-37.5,0.879,4963.6,Senior,0.8361366987591412
26,admin.,single,university.degree,no,no,no,telephone,oct,wed,1,999,2,failure,-1.1,94.601,-49.5,0.959,4963.6,Joven,0.7462118251258423
37,technician,single,university.degree,no,yes,no,cellular,apr,mon,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,Adulto,0.6397692922764744
36,admin.,single,university.degree,no,yes,no,cellular,sep,fri,1,999,1,failure,-3.4,92.379,-29.8,0.773,5017.5,Adulto,0.7752993042026322
27,technician,single,professional.course,no,no,no,cellular,may,tue,1,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,Joven,0.5079669909797444
38,admin.,married,university.degree,no,yes,no,cellular,apr,tue,2,999,0,nonexistent,-1.8,93.075,-47.1,1.423,5099.1,Adulto,0.6465344385835727
56,retired,married,basic.4y,no,no,no,cellular,dec,thu,1,999,0,nonexistent,-3.0,92.713,-33.0,0.714,5023.5,Maduro,0.9095083981987542
33,services,married,high.school,no,yes,yes,cellular,apr,mon,5,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,Adulto,0.5659980322739975
74,retired,married,high.school,no,no,no,cellular,aug,thu,1,999,0,nonexistent,-2.9,92.201,-31.4,0.883,5076.2,Senior,0.8600746322312833
48,admin.,married,university.degree,no,no,no,telephone,apr,thu,1,6,2,success,-1.8,93.749,-34.6,0.644,5008.7,Maduro,0.910099086093846
58,self-employed,married,university.degree,no,no,no,cellular,nov,wed,1,999,0,nonexistent,-3.4,92.649,-30.1,0.716,5017.5,Maduro,0.8518026777508136
54,management,divorced,university.degree,no,yes,no,cellular,oct,thu,2,6,1,success,-3.4,92.431,-26.9,0.741,5017.5,Maduro,0.9594421121149952
35,technician,married,professional.course,no,yes,yes,cellular,oct,wed,1,9,2,failure,-1.1,94.601,-49.5,0.959,4963.6,Adulto,0.9337660484474337
44,entrepreneur,divorced,university.degree,no,yes,no,cellular,apr,thu,1,999,1,failure,-1.8,93.075,-47.1,1.41,5099.1,Adulto,0.5397338271716008
24,admin.,single,university.degree,no,yes,no,cellular,mar,wed,2,999,1,failure,-1.8,93.369,-34.8,0.655,5008.7,Joven,0.8924898731801999
34,management,married,university.degree,no,yes,no,cellular,apr,fri,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,Adulto,0.6633340421347698
31,admin.,married,university.degree,no,yes,no,cellular,oct,thu,1,999,0,nonexistent,-3.4,92.431,-26.9,0.754,5017.5,Adulto,0.8550849210014589
57,admin.,married,basic.9y,no,no,no,cellular,sep,thu,2,999,1,failure,-1.1,94.199,-37.5,0.884,4963.6,Maduro,0.7093417240334672
18,student,single,unknown,no,unknown,unknown,cellular,sep,thu,2,999,0,nonexistent,-3.4,92.379,-29.8,0.809,5017.5,Joven,0.8782029218109919
22,student,single,high.school,no,yes,yes,cellular,may,mon,3,999,0,nonexistent,-1.8,92.893,-46.2,1.354,5099.1,Joven,0.5296179040723774
37,entrepreneur,married,basic.6y,no,yes,no,cellular,jun,mon,1,999,0,nonexistent,-2.9,92.963,-40.8,1.266,5076.2,Adulto,0.8110837073585169
41,blue-collar,married,basic.4y,unknown,no,no,cellular,apr,fri,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,Adulto,0.5734624621664293
24,management,single,university.degree,no,yes,no,cellular,apr,thu,1,999,0,nonexistent,-1.8,93.075,-47.1,1.41,5099.1,Joven,0.7055769985577867
49,management,married,university.degree,no,no,yes,cellular,nov,tue,1,999,0,nonexistent,-3.4,92.649,-30.1,0.715,5017.5,Maduro,0.8375184772830025
32,admin.,single,university.degree,no,yes,no,cellular,sep,tue,2,999,0,nonexistent,-3.4,92.379,-29.8,0.819,5017.5,Adulto,0.8366216794603158
29,admin.,single,high.school,no,no,no,cellular,jul,tue,1,999,0,nonexistent,-1.7,94.215,-40.3,0.797,4991.6,Joven,0.9228805092072474
23,student,single,basic.9y,no,yes,yes,cellular,may,thu,7,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,Joven,0.5027435893296962
34,admin.,single,university.degree,no,no,yes,cellular,aug,tue,1,999,1,failure,-2.9,92.201,-31.4,0.859,5076.2,Adulto,0.719897074850038
25,technician,single,professional.course,no,no,yes,cellular,apr,mon,4,999,0,nonexistent,-1.8,93.075,-47.1,1.466,5099.1,Joven,0.6559447488541839
36,admin.,single,high.school,no,yes,no,cellular,oct,mon,1,6,1,success,-3.4,92.431,-26.9,0.739,5017.5,Adulto,0.9572153054499173
28,admin.,single,university.degree,no,no,no,cellular,may,fri,2,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,Joven,0.5365399149375844
34,admin.,married,university.degree,no,yes,no,cellular,aug,mon,1,999,0,nonexistent,-2.9,92.201,-31.4,0.821,5076.2,Adulto,0.7649557769777603
28,admin.,single,high.school,no,no,no,telephone,oct,wed,1,999,0,nonexistent,-3.4,92.431,-26.9,0.742,5017.5,Joven,0.8076098962536616
34,entrepreneur,married,university.degree,no,yes,yes,telephone,apr,fri,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,Adulto,0.5296890052526415
57,retired,divorced,basic.9y,no,no,no,cellular,jul,fri,3,999,0,nonexistent,-2.9,92.469,-33.6,1.059,5076.2,Maduro,0.8026212935919533
39,technician,single,professional.course,no,yes,no,cellular,apr,wed,2,999,0,nonexistent,-1.8,93.075,-47.1,1.415,5099.1,Adulto,0.666493534403327
28,admin.,single,university.degree,no,no,yes,cellular,may,wed,1,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,Joven,0.5841330058940688
24,technician,single,university.degree,no,no,no,cellular,oct,wed,1,999,0,nonexistent,-3.4,92.431,-26.9,0.724,5017.5,Joven,0.8966853878069871
55,technician,married,professional.course,no,yes,no,cellular,apr,fri,2,999,1,failure,-1.8,93.749,-34.6,0.644,5008.7,Maduro,0.7289197958141839
28,admin.,single,high.school,no,yes,no,cellular,jun,tue,1,999,2,failure,-2.9,92.963,-40.8,1.262,5076.2,Joven,0.7113680064441751
35,admin.,married,university.degree,no,yes,no,cellular,apr,mon,1,999,2,failure,-1.8,93.749,-34.6,0.642,5008.7,Adulto,0.6902834041554828
28,admin.,single,high.school,no,no,no,cellular,may,wed,2,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,Joven,0.5452879425470566
38,admin.,divorced,university.degree,no,no,no,cellular,apr,mon,1,999,0,nonexistent,-1.8,93.075,-47.1,1.392,5099.1,Adulto,0.628119951862211
71,retired,divorced,basic.4y,no,yes,no,telephone,apr,thu,1,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,Senior,0.5709726369086778
30,self-employed,single,university.degree,no,yes,no,cellular,sep,tue,1,999,0,nonexistent,-3.4,92.379,-29.8,0.788,5017.5,Joven,0.8606735549385578
41,blue-collar,married,basic.9y,unknown,yes,no,cellular,apr,fri,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,Adulto,0.5644208157753902
74,retired,divorced,basic.4y,no,yes,yes,cellular,jul,wed,2,999,0,nonexistent,-1.7,94.215,-40.3,0.896,4991.6,Senior,0.9390811578652686
28,student,single,professional.course,no,no,no,cellular,aug,fri,2,999,0,nonexistent,-2.9,92.201,-31.4,0.825,5076.2,Joven,0.8408901869448961
25,student,single,high.school,no,yes,no,cellular,may,thu,1,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,Joven,0.5643182186488392
33,admin.,single,university.degree,no,no,no,cellular,jun,wed,1,999,2,failure,-2.9,92.963,-40.8,1.26,5076.2,Adulto,0.7335746210865566
32,admin.,married,university.degree,no,yes,no,cellular,oct,fri,1,999,0,nonexistent,-3.4,92.431,-26.9,0.73,5017.5,Adulto,0.8571525976133697
44,admin.,married,university.degree,no,yes,no,cellular,sep,thu,1,999,0,nonexistent,-3.4,92.379,-29.8,0.809,5017.5,Adulto,0.8406961018575759
36,blue-collar,married,basic.6y,no,yes,yes,cellular,apr,fri,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,Adulto,0.6781004500237686
27,student,single,high.school,no,no,yes,cellular,jul,wed,2,999,1,failure,-2.9,92.469,-33.6,1.029,5076.2,Joven,0.7950304387482957
43,entrepreneur,single,unknown,no,no,no,cellular,jul,mon,3,999,1,failure,-2.9,92.469,-33.6,1.048,5076.2,Adulto,0.6830762116190289
36,management,married,university.degree,no,no,no,cellular,jun,thu,1,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,Adulto,0.8122904275434367
53,housemaid,married,basic.4y,no,no,yes,cellular,jun,tue,2,999,0,nonexistent,-2.9,92.963,-40.8,1.252,5076.2,Maduro,0.7848341118602923
24,student,single,unknown,no,yes,yes,cellular,aug,fri,1,3,2,success,-2.9,92.201,-31.4,0.849,5076.2,Joven,0.9568669029922412
31,admin.,single,university.degree,no,no,no,cellular,oct,thu,1,999,0,nonexistent,-3.4,92.431,-26.9,0.733,5017.5,Adulto,0.8680277759283286
85,retired,married,basic.4y,no,yes,no,cellular,apr,fri,2,999,0,nonexistent,-1.8,93.075,-47.1,1.4,5099.1,Senior,0.7382054593398063
34,entrepreneur,single,university.degree,no,no,no,cellular,apr,mon,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,Adulto,0.6709045104204758
64,retired,married,basic.9y,no,yes,no,cellular,aug,mon,2,3,1,success,-2.9,92.201,-31.4,0.843,5076.2,Senior,0.9523125580861739
50,admin.,married,high.school,no,yes,no,cellular,may,wed,1,999,2,failure,-1.8,93.876,-40.0,0.682,5008.7,Maduro,0.6817799437751917
35,blue-collar,divorced,basic.6y,no,yes,no,cellular,apr,fri,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,Adulto,0.6493878521615013
29,admin.,single,university.degree,no,yes,no,cellular,apr,wed,1,5,2,success,-1.8,93.075,-47.1,1.498,5099.1,Joven,0.9125632530603958
37,admin.,married,high.school,no,yes,yes,cellular,nov,mon,1,999,0,nonexistent,-3.4,92.649,-30.1,0.722,5017.5,Adulto,0.7997153507381493
29,admin.,single,university.degree,no,yes,yes,cellular,aug,mon,12,999,0,nonexistent,-2.9,92.201,-31.4,0.821,5076.2,Joven,0.7292839648911337
59,blue-collar,married,basic.4y,no,no,no,cellular,apr,mon,3,999,1,failure,-1.8,93.749,-34.6,0.642,5008.7,Maduro,0.6782595506648682
28,admin.,married,high.school,no,no,no,cellular,may,wed,1,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,Joven,0.5414448457040681
57,retired,married,basic.6y,no,yes,no,cellular,may,thu,1,6,2,success,-1.8,92.893,-46.2,1.327,5099.1,Maduro,0.8385946763679119
23,blue-collar,single,basic.9y,no,yes,no,cellular,jul,thu,5,999,1,failure,-1.7,94.215,-40.3,0.846,4991.6,Joven,0.8413849699506863
46,entrepreneur,married,university.degree,no,yes,yes,cellular,apr,thu,5,999,0,nonexistent,-1.8,93.075,-47.1,1.41,5099.1,Maduro,0.6548219535964849
26,unemployed,single,university.degree,no,yes,no,cellular,apr,tue,3,999,0,nonexistent,-1.8,93.075,-47.1,1.423,5099.1,Joven,0.6439944993711605
26,technician,single,university.degree,no,yes,no,cellular,oct,thu,1,999,0,nonexistent,-3.4,92.431,-26.9,0.754,5017.5,Joven,0.8809017933025773
40,technician,married,professional.course,no,yes,no,cellular,may,wed,1,3,4,success,-1.8,93.876,-40.0,0.682,5008.7,Adulto,0.9124318006189505
23,student,single,basic.9y,no,no,yes,cellular,may,fri,1,999,0,nonexistent,-1.8,92.893,-46.2,1.259,5099.1,Joven,0.5792443930693694
59,admin.,divorced,basic.4y,no,yes,no,cellular,may,wed,1,999,0,nonexistent,-1.8,93.876,-40.0,0.682,5008.7,Maduro,0.7757865147844077
40,services,married,high.school,no,yes,no,cellular,apr,fri,2,999,0,nonexistent,-1.8,93.075,-47.1,1.479,5099.1,Adulto,0.6251319009904116
35,technician,single,professional.course,no,yes,no,cellular,jul,tue,6,6,1,success,-1.7,94.215,-40.3,0.835,4991.6,Adulto,0.9704768432949659
30,admin.,married,professional.course,no,yes,no,cellular,jun,thu,1,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,Joven,0.8125883250296462
48,unemployed,married,university.degree,no,yes,no,cellular,mar,mon,2,999,0,nonexistent,-1.8,93.369,-34.8,0.646,5008.7,Maduro,0.8831828987829623
41,services,single,high.school,no,no,no,cellular,apr,wed,1,999,0,nonexistent,-1.8,93.075,-47.1,1.415,5099.1,Adulto,0.67792097877262
33,admin.,married,university.degree,no,no,yes,telephone,mar,thu,2,999,1,failure,-1.8,93.369,-34.8,0.65,5008.7,Adulto,0.7731793920553732
80,retired,married,basic.4y,no,yes,no,cellular,aug,wed,1,999,0,nonexistent,-2.9,92.201,-31.4,0.834,5076.2,Senior,0.8576047969738954
83,retired,married,unknown,no,yes,no,cellular,sep,fri,1,999,0,nonexistent,-3.4,92.379,-29.8,0.803,5017.5,Senior,0.8982381220560679
58,technician,married,professional.course,unknown,yes,no,cellular,apr,mon,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,Maduro,0.5713877131756084
45,blue-collar,married,unknown,no,no,no,cellular,apr,fri,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,Adulto,0.6546756422236882
35,self-employed,single,university.degree,no,yes,yes,cellular,sep,tue,1,999,1,failure,-1.1,94.199,-37.5,0.881,4963.6,Adulto,0.7294172380797522
70,retired,married,basic.4y,no,yes,no,telephone,apr,tue,2,999,1,failure,-1.8,93.749,-34.6,0.642,5008.7,Senior,0.6682890439590748
57,admin.,married,high.school,no,yes,no,cellular,apr,tue,1,999,0,nonexistent,-1.8,93.075,-47.1,1.423,5099.1,Maduro,0.6519470805836306
32,admin.,single,university.degree,no,yes,no,cellular,jul,thu,2,15,1,success,-1.7,94.215,-40.3,0.846,4991.6,Adulto,0.9778378901200437
24,technician,single,university.degree,no,yes,no,cellular,apr,thu,1,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,Joven,0.7059807657168619
42,admin.,married,university.degree,no,yes,no,cellular,nov,thu,2,4,1,success,-0.1,93.2,-42.0,4.076,5195.8,Adulto,0.698950845929178
27,self-employed,single,university.degree,no,no,no,cellular,may,thu,1,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,Joven,0.5380297326485468
30,student,single,high.school,no,no,no,cellular,aug,tue,3,999,1,failure,-1.7,94.027,-38.3,0.899,4991.6,Joven,0.9144024186442564
49,management,married,university.degree,no,yes,no,cellular,apr,thu,3,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,Maduro,0.6499729769426122
31,technician,single,professional.course,no,unknown,unknown,cellular,oct,thu,2,999,0,nonexistent,-1.1,94.601,-49.5,1.025,4963.6,Adulto,0.8643888353098155
36,admin.,single,university.degree,no,no,no,cellular,jun,wed,1,7,1,success,-1.7,94.055,-39.8,0.739,4991.6,Adulto,0.9477287418605228
25,blue-collar,single,basic.6y,no,yes,no,cellular,may,thu,2,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,Joven,0.5205596147134903
47,technician,divorced,university.degree,no,no,yes,cellular,apr,fri,2,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,Maduro,0.5567848117434568
21,management,single,university.degree,no,unknown,unknown,cellular,jun,tue,1,999,0,nonexistent,-2.9,92.963,-40.8,1.262,5076.2,Joven,0.8248653553645396
31,technician,single,university.degree,no,yes,no,telephone,jun,wed,1,999,0,nonexistent,-1.7,94.055,-39.8,0.767,4991.6,Adulto,0.673556763406603
53,admin.,divorced,high.school,no,yes,no,cellular,aug,tue,2,3,1,success,-2.9,92.201,-31.4,0.838,5076.2,Maduro,0.9302494747883499
47,housemaid,married,basic.6y,unknown,no,yes,cellular,jul,thu,1,999,0,nonexistent,-2.9,92.469,-33.6,1.072,5076.2,Maduro,0.7912444581666682
